Country,Year,Population
United States,1973,211909000
South Africa,1973,24382513
India,1973,596107483
Germany,1973,78936666
Brazil,1973,103666904
Australia,1973,13380000
United States,1974,213854000
South Africa,1974,25077016
India,1974,609721951
Germany,1974,78967433
Brazil,1974,106167372
Australia,1974,13723000
United States,1975,215973000
South Africa,1975,25777964
India,1975,623524219
Germany,1975,78673554
Brazil,1975,108700515
Australia,1975,13893000
United States,1976,218035000
South Africa,1976,26480300
India,1976,637451448
Germany,1976,78336950
Brazil,1976,111286504
Australia,1976,14033000
United States,1977,220239000
South Africa,1977,27199838
India,1977,651685628
Germany,1977,78159814
Brazil,1977,113939886
Australia,1977,14192000
United States,1978,222585000
South Africa,1978,27943445
India,1978,666267760
Germany,1978,78091820
Brazil,1978,116664382
Australia,1978,14358000
United States,1979,225055000
South Africa,1979,28697014
India,1979,681248383
Germany,1979,78126350
Brazil,1979,119447303
Australia,1979,14514000
United States,1980,227225000
South Africa,1980,29463549
India,1980,696828385
Germany,1980,78288576
Brazil,1980,122288383
Australia,1980,14692000
United States,1981,229466000
South Africa,1981,30232561
India,1981,712869298
Germany,1981,78407907
Brazil,1981,125168060
Australia,1981,14923260
United States,1982,231664000
South Africa,1982,31022417
India,1982,729169466
Germany,1982,78333366
Brazil,1982,128065095
Australia,1982,15184247
United States,1983,233792000
South Africa,1983,31865176
India,1983,745826546
Germany,1983,78128282
Brazil,1983,130977370
Australia,1983,15393472
United States,1984,235825000
South Africa,1984,32768207
India,1984,762895156
Germany,1984,77858685
Brazil,1984,133888775
Australia,1984,15579391
United States,1985,237924000
South Africa,1985,33752964
India,1985,780242084
Germany,1985,77684873
Brazil,1985,136783180
Australia,1985,15788312
United States,1986,240133000
South Africa,1986,34877834
India,1986,797878993
Germany,1986,77720436
Brazil,1986,139643355
Australia,1986,16018350
United States,1987,242289000
South Africa,1987,36119333
India,1987,815716125
Germany,1987,77839920
Brazil,1987,142466264
Australia,1987,16263874
United States,1988,244499000
South Africa,1988,37393853
India,1988,833729681
Germany,1988,78144619
Brazil,1988,145253973
Australia,1988,16532164
United States,1989,246819000
South Africa,1989,38668684
India,1989,852012673
Germany,1989,78751283
Brazil,1989,148003411
Australia,1989,16814416
United States,1990,249623000
South Africa,1990,39877570
India,1990,870452165
Germany,1990,79433029
Brazil,1990,150706446
Australia,1990,17065128
United States,1991,252981000
South Africa,1991,40910959
India,1991,888941756
Germany,1991,80013896
Brazil,1991,153336445
Australia,1991,17284036
United States,1992,256514000
South Africa,1992,41760755
India,1992,907574049
Germany,1992,80624598
Brazil,1992,155900790
Australia,1992,17478635
United States,1993,259919000
South Africa,1993,42525440
India,1993,926351297
Germany,1993,81156363
Brazil,1993,158440875
Australia,1993,17634808
United States,1994,263126000
South Africa,1994,43267982
India,1994,945261958
Germany,1994,81438348
Brazil,1994,160980472
Australia,1994,17805468
United States,1995,266278000
South Africa,1995,43986084
India,1995,964279129
Germany,1995,81678051
Brazil,1995,163515328
Australia,1995,18004882
United States,1996,269394000
South Africa,1996,44661603
India,1996,983281218
Germany,1996,81914831
Brazil,1996,166037122
Australia,1996,18224767
United States,1997,272657000
South Africa,1997,45285048
India,1997,1002335230
Germany,1997,82034771
Brazil,1997,168546707
Australia,1997,18423037
United States,1998,275854000
South Africa,1998,45852166
India,1998,1021434576
Germany,1998,82047195
Brazil,1998,171039804
Australia,1998,18607584
United States,1999,279040000
South Africa,1999,46364681
India,1999,1040500054
Germany,1999,82100243
Brazil,1999,173486281
Australia,1999,18812264
United States,2000,282162411
South Africa,2000,46813266
India,2000,1059633675
Germany,2000,82211508
Brazil,2000,175873720
Australia,2000,19028802
United States,2001,284968955
South Africa,2001,47229714
India,2001,1078970907
Germany,2001,82349925
Brazil,2001,178211881
Australia,2001,19274701
United States,2002,287625193
South Africa,2002,47661514
India,2002,1098313039
Germany,2002,82488495
Brazil,2002,180476685
Australia,2002,19495210
United States,2003,290107933
South Africa,2003,48104048
India,2003,1117415123
Germany,2003,82534176
Brazil,2003,182629278
Australia,2003,19720737
United States,2004,292805298
South Africa,2004,48556071
India,2004,1136264583
Germany,2004,82516260
Brazil,2004,184722043
Australia,2004,19932722
United States,2005,295516599
South Africa,2005,49017147
India,2005,1154638713
Germany,2005,82469422
Brazil,2005,186797334
Australia,2005,20176844
United States,2006,298379912
South Africa,2006,49491756
India,2006,1172373788
Germany,2006,82376451
Brazil,2006,188820682
Australia,2006,20450966
United States,2007,301231207
South Africa,2007,49996094
India,2007,1189691809
Germany,2007,82266372
Brazil,2007,190779453
Australia,2007,20827622
United States,2008,304093966
South Africa,2008,50565812
India,2008,1206734806
Germany,2008,82110097
Brazil,2008,192672317
Australia,2008,21249199
United States,2009,306771529
South Africa,2009,51170779
India,2009,1223640160
Germany,2009,81902307
Brazil,2009,194517549
Australia,2009,21691653
United States,2010,309327143
South Africa,2010,51784921
India,2010,1240613620
Germany,2010,81776930
Brazil,2010,196353492
Australia,2010,22031750
United States,2011,311583481
South Africa,2011,52443325
India,2011,1257621191
Germany,2011,80274983
Brazil,2011,198185302
Australia,2011,22340024
United States,2012,313877662
South Africa,2012,53145033
India,2012,1274487215
Germany,2012,80425823
Brazil,2012,199977707
Australia,2012,22733465
United States,2013,316059947
South Africa,2013,53873616
India,2013,1291132063
Germany,2013,80645605
Brazil,2013,201721767
Australia,2013,23128129
United States,2014,318386329
South Africa,2014,54729551
India,2014,1307246509
Germany,2014,80982500
Brazil,2014,203459650
Australia,2014,23475686
United States,2015,320738994
South Africa,2015,55876504
India,2015,1322866505
Germany,2015,81686611
Brazil,2015,205188205
Australia,2015,23815995
United States,2016,323071755
South Africa,2016,56422274
India,2016,1338636340
Germany,2016,82348669
Brazil,2016,206859578
Australia,2016,24190907
United States,2017,325122128
South Africa,2017,56641209
India,2017,1354195680
Germany,2017,82657002
Brazil,2017,208504960
Australia,2017,24592588
United States,2018,326838199
South Africa,2018,57339635
India,2018,1369003306
Germany,2018,82905782
Brazil,2018,210166592
Australia,2018,24963258
United States,2019,328329953
South Africa,2019,58087055
India,2019,1383112050
Germany,2019,83092962
Brazil,2019,211782878
Australia,2019,25334826
United States,2020,331511512
South Africa,2020,58801927
India,2020,1396387127
Germany,2020,83160871
Brazil,2020,213196304
Australia,2020,25649248
United States,2021,332031554
South Africa,2021,59392255
India,2021,1407563842
Germany,2021,83196078
Brazil,2021,214326223
Australia,2021,25685412
United States,2022,333287557
South Africa,2022,59893885
India,2022,1417173173
Germany,2022,83797985
Brazil,2022,215313498
Australia,2022,26005540